81,53,64,56,40,93,90,17,50,77,16,79,82,53,23,30,6,70,48,74,28,39,50,75,30,28,66,82,11,78,49,41,6,14,18,91,7,82,29,41,12,39,57,51,59,22,66,30,100,32,2,36,88,12,7,49,0,4,51,69,84,9,74,96,56,59,21,76,6,16,88,4,24,57,16,92,24,33,99,9,31,63,2,72,18,78,52,5,5,72,23,71,46,71,14,65,42,47,78,42
27,67,93,68,39,66,59,30,75,97,24,76,85,70,68,38,9,78,23,39,5,80,38,29,16,21,90,18,38,36,90,53,59,83,70,62,45,53,65,31,42,12,61,34,6,33,1,46,95,22,76,76,59,40,56,52,94,61,10,63,21,77,52,52,60,63,65,95,54,48,65,17,17,6,58,71,88,67,45,27,73,82,63,44,3,100,96,73,51,35,72,85,71,8,25,4,26,90,30,63
50,89,67,78,32,68,70,13,4,56,24,99,8,8,46,55,65,85,54,23,10,56,12,16,75,54,61,32,8,12,28,85,62,49,62,16,20,65,79,23,35,60,95,39,69,30,75,43,69,74,33,98,94,42,100,31,51,52,53,54,92,47,11,72,60,71,83,91,93,74,85,30,42,22,46,69,63,5,88,39,52,96,20,48,74,45,91,93,22,64,74,57,11,46,34,32,91,72,57,39
27,26,77,88,38,56,51,87,28,71,65,75,86,83,18,64,47,64,69,9,66,75,59,65,91,78,84,3,79,41,68,48,92,54,32,96,1,37,43,56,77,61,52,85,92,85,9,83,38,84,23,41,9,75,26,87,1,48,34,16,60,56,81,37,18,34,99,31,97,93,30,69,69,52,21,80,65,43,52,55,0,66,95,81,100,39,0,24,67,35,75,1,85,60,27,1,90,40,1,60
98,30,70,69,64,13,97,8,10,64,34,89,3,55,34,33,3,98,34,33,3,25,59,72,41,41,2,28,10,48,55,40,100,93,83,69,0,65,92,40,19,21,21,74,98,41,24,47,68,70,22,40,88,31,77,35,44,12,86,9,76,57,96,67,92,67,32,60,62,73,18,55,3,76,78,14,12,70,10,64,46,97,48,18,18,55,38,50,20,7,51,15,60,100,65,47,1,89,1,87
73,33,15,89,89,6,92,15,9,32,89,95,83,84,14,7,20,76,90,89,80,47,11,15,58,99,3,17,81,75,69,22,31,69,13,46,30,46,23,96,40,84,29,94,97,79,81,78,95,71,84,98,12,50,73,51,81,38,29,54,84,73,52,15,28,0,10,77,33,27,88,6,57,73,2,2,26,60,22,64,13,39,62,33,51,47,63,4,57,81,3,16,8,64,4,6,55,52,28,49
21,5,23,75,60,33,13,93,54,31,63,68,100,11,21,17,31,24,69,11,17,84,85,66,36,59,28,17,32,2,65,74,3,21,8,89,17,20,52,66,96,27,51,11,30,2,16,20,24,66,51,62,99,2,90,6,13,12,29,70,13,71,40,14,29,79,87,26,0,12,5,68,21,93,21,38,12,19,62,30,51,66,90,97,41,71,15,36,32,60,48,10,76,64,67,85,68,69,63,55
73,49,28,14,45,3,97,74,87,0,87,73,27,36,35,51,93,91,46,94,42,76,74,20,54,54,90,3,1,21,57,36,15,78,18,44,68,81,96,93,5,43,55,9,13,70,90,82,74,67,28,54,57,74,23,90,36,36,73,40,6,90,96,8,30,65,96,18,82,15,93,33,0,65,86,15,11,19,45,49,53,20,14,89,20,38,63,99,92,63,42,85,50,45,74,40,61,63,10,12
90,11,31,76,29,97,50,3,19,14,68,53,78,85,24,95,21,54,48,16,61,83,97,90,17,59,77,9,6,14,23,80,42,40,30,77,86,79,79,38,2,8,0,65,70,36,60,89,55,52,25,6,88,77,91,87,91,5,94,68,6,16,10,26,81,11,29,62,85,16,96,90,58,95,70,69,32,34,35,55,50,74,64,32,82,23,9,67,0,83,100,67,53,99,20,84,95,71,15,78
79,26,32,61,62,83,14,84,18,9,97,61,95,7,33,15,15,26,21,38,52,74,58,3,12,10,37,83,74,55,44,70,51,52,85,71,23,20,5,57,16,69,64,60,78,32,79,87,52,79,99,14,79,96,20,40,71,14,27,44,0,38,51,57,34,64,38,30,67,68,45,84,35,5,54,81,92,46,69,42,42,33,65,20,6,44,13,88,72,26,32,15,50,25,18,22,78,45,11,38
